"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"SETI @ Home","SETI@home is a scientific experiment that uses Internet-connected computers in the Search for Extraterrestrial Intelligence (SETI). You can participate by running a free program that downloads and analyzes radio telescope data. ","http://setiathome.berkeley.edu","https://twitter.com/setiathome","","http://setiathome.berkeley.edu/contact.php","Academia And Research","Space Sciences Laboratory Mail Code 7450University of California Berkeley, CA 94720-7450Berkeley, CA 94720United States","public institution","1999-01-01 00:00:00","English","","distributed computing, peer-to-peer","Collaborative research","Collage","Others","No license","GNU General Public License V2","University of Berkeley, CA","Users (P2P)","",""
"Catarse","Brazil-based, open-source crowdfunding platform","http://catarse.me","https://www.facebook.com/Catarse.me, https://twitter.com/catarse","","","Business","Sao Paulo -  São PauloBrazil","for profit organization","2011-01-01 00:00:00","English","","crowdfunding, civic crowdfunding","Others","Building collective process","Resource, Service, Others","No license","MIT License","","","",""
"IOBY (In Our Back Yard)","Civic crowdfunding and crowdresourcing platform for community projects, with a focus on sustainability projects in New York and Miami.","http://ioby.org","https://twitter.com/ioby, https://www.facebook.com/ioby.org","","http://ioby.org/contact","Social Enterprise Charity Or Foundation","540 President Street, 3rd FloorBrooklyn, NYUnited States","not for profit organization","2009-01-01 00:00:00","English","","crowdfunding, civic crowdfunding, sustainability","Others","Building collective process","Resource, Service, Others","No license","Private software","","","",""
"Citizinvestor","Civic crowdfunding platform for government agencies to raise money for public projects.","http://www.citizinvestor.com","https://twitter.com/citizinvestor, https://www.facebook.com/citizinvestor","","http://www.citizinvestor.com/contact","Business","Tampa, FLUnited States","for profit organization","2012-01-01 00:00:00","English","","crowdfunding, civic crowdfunding","Others","Building collective process","Resource, Service, Others","No license","Private software","Citizinvestor, Inc.","","",""
"Neighbor.ly","Civic crowdfunding platform based in Kansas City, MO.","http://neighbor.ly","http://twitter.com/neighborly, https://www.facebook.com/NEIGHBORdotLY","howdy@neighbor.ly","","Business","Kansas City, MOUnited States","for profit organization","2012-01-01 00:00:00","English","","","Others","Building collective process","Resource, Service, Others","No license","MIT License","","","",""
"Spacehive","UK-based crowdfunding platform for public space projects.","http://www.spacehive.com","http://twitter.com/spacehive, https://www.facebook.com/Spacehive","info@spacehive.com","http://www.spacehive.com/Home/ContactUs","Business","","for profit organization","2011-01-01 00:00:00","English","","crowdfunding, civic crowdfunding, public space","Others","Building collective process","Service, Others","No license","Private software","","","",""
"Backdrop","Backdrop CMS is a fork of Drupal 7, created with the purpose of offering a lower barrier entry.","http://backdropcms.org/","https://twitter.com/backdropcms","backdrop@quicksketch.org","https://github.com/backdrop/backdrop-issues/issues","","","other","2013-01-01 00:00:00","English","","drupal, fork","FLOSS communities","Collage","Resource","GNU General Public License","GNU General Public License V2","Nate Haug","Nate Haug","Owner and infrastructure provider refers to the founding forker.",""
"OpenELEC","OpenELEC is an embedded operating system built around XBMC, the open source entertainment media hub. Home Theatre PCs are known to be hard to install and configure and can take a massive amount of time to keep running. OpenELEC, on the other hand, is designed to be as lightweight as possible in terms of size and complexity meaning your HTPC becomes no harder to configure than your satellite box or DVD player. With it's small footprint, OpenELEC is also ideal for small systems based on Atom or Fusion platforms so you won't need a whole computer in your living room!","http://openelec.tv/","","","http://openelec.tv/forum","","","other","2009-01-01 00:00:00","English","","","FLOSS communities","Collage","Resource","GNU General Public License","GNU General Public License V2","","","",""
"Replicant","Replicant is a free and open source operating system based on the Android mobile platform, which aims to replace all proprietary Android components with their free software counterparts.","http://www.replicant.us/","","","http://redmine.replicant.us/projects/replicant/boards","","","other","2010-01-01 00:00:00","English","","cell phone, operating system, android","FLOSS communities","Collage","Resource","GNU General Public License","GNU General Public License V2","","","",""
"Forvo","Forvo.com is a website that allows access to, and playback of, pronunciation sound clips in many different languages in an attempt to facilitate the easier learning of languages.","http://www.forvo.com/","","","http://www.forvo.com/contact/","","San Sebastián Basque CountrySpain","for profit organization","2008-01-01 00:00:00","English, French, German, Portuguese, Russian, Tatar","","pronunciation, sounds","Collaborative video, audio, images","Album","Resource","Creative Commons: Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)","Private software","Forvo Media SL","Forvo Media SL","Languages are those with more than 100K pronunciations.",""
"Stack Exchange Network","Stack Exchange is a fast-growing network of question and answer sites on diverse topics from software programming to cooking to photography and gaming.","http://stackexchange.com/","","team@stackexchange.com","http://stackexchange.com/about/contact","Business","","for profit organization","2009-01-01 00:00:00","English","","Q&A","Collaborative writing, Collaborative archive","Album","Resource","Creative Commons: Attribution (CC BY)","Private software","Stack Exchange Inc","Stack Exchange Inc","",""
"Xfce","Xfce is a lightweight desktop environment for UNIX-like operating systems. It aims to be fast and low on system resources, while still being visually appealing and user friendly.","http://www.xfce.org/","http://identi.ca/xfce","","","","","other","1996-01-01 00:00:00","English","","GUI, desktop","FLOSS communities","Collage","Resource","GNU General Public License","GNU Lesser General Public License","","","",""
"KDE","KDE is an international team co-operating on development and distribution of Free, Open Source Software for desktop and portable computing. Our community has developed a wide variety of applications for communication, work, education and entertainment. We have a strong focus on finding innovative solutions to old and new problems, creating a vibrant, open atmosphere for experimentation. ","http://www.kde.org/","","","http://www.kde.org/support/mailinglists/","","","not for profit organization","1999-01-01 00:00:00","English","","GUI, desktop","FLOSS communities","Collage","Resource","GNU Free Documentation License","GNU Lesser General Public License","","","",""
"GNOME","GNOME is a desktop environment and graphical user interface (GUI) that runs on top of a computer operating system. It is composed entirely of free and open source software and is developed by both volunteers and paid contributors, the largest corporate contributor being Red Hat.","http://www.gnome.org/","https://twitter.com/gnome, https://planet.gnome.org/, https://identi.ca/gnome","","","Grass Roots Organization Or Community Network","21 Orinda WayOrinda, CA 94563United States","not for profit organization","1999-01-01 00:00:00","English","","GUI, desktop","FLOSS communities","Collage","Resource","Creative Commons: Attribution (CC BY)","GNU General Public License V2","GNOME Foundation","GNOME Foundation","",""
